11/01/2023 17:47:58: Starting run with config: dropout=0.01, num_epochs=3, learning_rate=0.1
11/01/2023 17:48:11: Test Loss:  1.10815 | Test acc:  0.614 | Test macro_f1:  0.254 | Test f1 scores of classes: [' 0.761', ' 0.000', ' 0.000']
11/01/2023 17:48:14: Starting run with config: dropout=0.01, num_epochs=3, learning_rate=0.05
11/01/2023 17:48:24: Test Loss:  1.10674 | Test acc:  0.220 | Test macro_f1:  0.133 | Test f1 scores of classes: [' 0.000', ' 0.039', ' 0.360']
11/01/2023 17:48:26: Starting run with config: dropout=0.01, num_epochs=3, learning_rate=0.01
11/01/2023 17:48:36: Test Loss:  1.10158 | Test acc:  0.632 | Test macro_f1:  0.327 | Test f1 scores of classes: [' 0.771', ' 0.000', ' 0.211']
11/01/2023 17:48:38: Starting run with config: dropout=0.01, num_epochs=3, learning_rate=0.005
11/01/2023 17:48:48: Test Loss:  1.20900 | Test acc:  0.610 | Test macro_f1:  0.430 | Test f1 scores of classes: [' 0.739', ' 0.197', ' 0.353']
11/01/2023 17:48:50: Starting run with config: dropout=0.01, num_epochs=3, learning_rate=0.001
11/01/2023 17:49:00: Test Loss:  1.05479 | Test acc:  0.451 | Test macro_f1:  0.417 | Test f1 scores of classes: [' 0.538', ' 0.283', ' 0.431']
11/01/2023 17:49:02: Starting run with config: dropout=0.01, num_epochs=3, learning_rate=0.0005
11/01/2023 17:49:12: Test Loss:  1.08953 | Test acc:  0.606 | Test macro_f1:  0.419 | Test f1 scores of classes: [' 0.748', ' 0.085', ' 0.425']
11/01/2023 17:49:14: Starting run with config: dropout=0.01, num_epochs=3, learning_rate=0.0001
11/01/2023 17:49:25: Test Loss:  1.03212 | Test acc:  0.552 | Test macro_f1:  0.467 | Test f1 scores of classes: [' 0.685', ' 0.328', ' 0.389']
11/01/2023 17:49:27: Starting run with config: dropout=0.01, num_epochs=5, learning_rate=0.1
11/01/2023 17:49:43: Test Loss:  1.13168 | Test acc:  0.224 | Test macro_f1:  0.122 | Test f1 scores of classes: [' 0.000', ' 0.000', ' 0.366']
11/01/2023 17:49:45: Starting run with config: dropout=0.01, num_epochs=5, learning_rate=0.05
11/01/2023 17:50:02: Test Loss:  1.10794 | Test acc:  0.614 | Test macro_f1:  0.254 | Test f1 scores of classes: [' 0.761', ' 0.000', ' 0.000']
11/01/2023 17:50:04: Starting run with config: dropout=0.01, num_epochs=5, learning_rate=0.01
11/01/2023 17:50:21: Test Loss:  1.10682 | Test acc:  0.614 | Test macro_f1:  0.254 | Test f1 scores of classes: [' 0.761', ' 0.000', ' 0.000']
11/01/2023 17:50:23: Starting run with config: dropout=0.01, num_epochs=5, learning_rate=0.005
11/01/2023 17:50:40: Test Loss:  1.04831 | Test acc:  0.549 | Test macro_f1:  0.461 | Test f1 scores of classes: [' 0.692', ' 0.297', ' 0.394']
11/01/2023 17:50:42: Starting run with config: dropout=0.01, num_epochs=5, learning_rate=0.001
11/01/2023 17:50:59: Test Loss:  1.10057 | Test acc:  0.592 | Test macro_f1:  0.463 | Test f1 scores of classes: [' 0.729', ' 0.197', ' 0.463']
11/01/2023 17:51:01: Starting run with config: dropout=0.01, num_epochs=5, learning_rate=0.0005
11/01/2023 17:51:18: Test Loss:  1.06556 | Test acc:  0.430 | Test macro_f1:  0.405 | Test f1 scores of classes: [' 0.496', ' 0.291', ' 0.429']
11/01/2023 17:51:20: Starting run with config: dropout=0.01, num_epochs=5, learning_rate=0.0001
11/01/2023 17:51:37: Test Loss:  1.02645 | Test acc:  0.621 | Test macro_f1:  0.457 | Test f1 scores of classes: [' 0.754', ' 0.136', ' 0.482']
11/01/2023 17:51:39: Starting run with config: dropout=0.01, num_epochs=7, learning_rate=0.1
