12/01/2023 09:59:18: Starting run with config: dropout=0.01, num_epochs=3, learning_rate=0.1
12/01/2023 09:59:28: Test Loss:  2.17208 | Test acc:  0.560 | Test macro_f1:  0.270 | Test f1 scores of classes: [' 0.734', ' 0.077', ' 0.000']
12/01/2023 09:59:30: Starting run with config: dropout=0.01, num_epochs=3, learning_rate=0.05
12/01/2023 09:59:41: Test Loss:  1.10967 | Test acc:  0.224 | Test macro_f1:  0.125 | Test f1 scores of classes: [' 0.012', ' 0.000', ' 0.362']
12/01/2023 09:59:43: Starting run with config: dropout=0.01, num_epochs=3, learning_rate=0.01
12/01/2023 09:59:53: Test Loss:  1.15810 | Test acc:  0.325 | Test macro_f1:  0.326 | Test f1 scores of classes: [' 0.342', ' 0.290', ' 0.345']
12/01/2023 09:59:55: Starting run with config: dropout=0.01, num_epochs=3, learning_rate=0.005
12/01/2023 10:00:05: Test Loss:  1.07719 | Test acc:  0.379 | Test macro_f1:  0.355 | Test f1 scores of classes: [' 0.465', ' 0.320', ' 0.278']
12/01/2023 10:00:08: Starting run with config: dropout=0.01, num_epochs=3, learning_rate=0.001
12/01/2023 10:00:18: Test Loss:  1.05211 | Test acc:  0.560 | Test macro_f1:  0.444 | Test f1 scores of classes: [' 0.705', ' 0.382', ' 0.245']
12/01/2023 10:00:20: Starting run with config: dropout=0.01, num_epochs=3, learning_rate=0.0005
12/01/2023 10:00:30: Test Loss:  1.06839 | Test acc:  0.422 | Test macro_f1:  0.403 | Test f1 scores of classes: [' 0.512', ' 0.315', ' 0.383']
12/01/2023 10:00:32: Starting run with config: dropout=0.01, num_epochs=3, learning_rate=0.0001
12/01/2023 10:00:43: Test Loss:  1.06000 | Test acc:  0.502 | Test macro_f1:  0.449 | Test f1 scores of classes: [' 0.623', ' 0.324', ' 0.400']
12/01/2023 10:00:45: Starting run with config: dropout=0.01, num_epochs=5, learning_rate=0.1
12/01/2023 10:01:02: Test Loss:  1.12169 | Test acc:  0.224 | Test macro_f1:  0.127 | Test f1 scores of classes: [' 0.023', ' 0.000', ' 0.358']
12/01/2023 10:01:04: Starting run with config: dropout=0.01, num_epochs=5, learning_rate=0.05
12/01/2023 10:01:21: Test Loss:  1.12167 | Test acc:  0.588 | Test macro_f1:  0.257 | Test f1 scores of classes: [' 0.743', ' 0.000', ' 0.028']
12/01/2023 10:01:23: Starting run with config: dropout=0.01, num_epochs=5, learning_rate=0.01
12/01/2023 10:01:40: Test Loss:  1.11859 | Test acc:  0.531 | Test macro_f1:  0.347 | Test f1 scores of classes: [' 0.681', ' 0.037', ' 0.324']
12/01/2023 10:01:42: Starting run with config: dropout=0.01, num_epochs=5, learning_rate=0.005
12/01/2023 10:01:59: Test Loss:  1.07688 | Test acc:  0.484 | Test macro_f1:  0.446 | Test f1 scores of classes: [' 0.599', ' 0.344', ' 0.395']
12/01/2023 10:02:01: Starting run with config: dropout=0.01, num_epochs=5, learning_rate=0.001
12/01/2023 10:02:18: Test Loss:  1.03412 | Test acc:  0.520 | Test macro_f1:  0.469 | Test f1 scores of classes: [' 0.639', ' 0.340', ' 0.429']
12/01/2023 10:02:19: Starting run with config: dropout=0.01, num_epochs=5, learning_rate=0.0005
12/01/2023 10:02:36: Test Loss:  1.04463 | Test acc:  0.578 | Test macro_f1:  0.489 | Test f1 scores of classes: [' 0.724', ' 0.387', ' 0.355']
12/01/2023 10:02:38: Starting run with config: dropout=0.01, num_epochs=5, learning_rate=0.0001
12/01/2023 10:02:55: Test Loss:  1.05037 | Test acc:  0.563 | Test macro_f1:  0.473 | Test f1 scores of classes: [' 0.706', ' 0.329', ' 0.385']
12/01/2023 10:02:57: Starting run with config: dropout=0.01, num_epochs=7, learning_rate=0.1
12/01/2023 10:03:21: Test Loss:  1.10954 | Test acc:  0.614 | Test macro_f1:  0.254 | Test f1 scores of classes: [' 0.761', ' 0.000', ' 0.000']
12/01/2023 10:03:23: Starting run with config: dropout=0.01, num_epochs=7, learning_rate=0.05
12/01/2023 10:03:46: Test Loss:  1.10962 | Test acc:  0.614 | Test macro_f1:  0.254 | Test f1 scores of classes: [' 0.761', ' 0.000', ' 0.000']
12/01/2023 10:03:48: Starting run with config: dropout=0.01, num_epochs=7, learning_rate=0.01
12/01/2023 10:04:12: Test Loss:  1.12772 | Test acc:  0.249 | Test macro_f1:  0.256 | Test f1 scores of classes: [' 0.174', ' 0.276', ' 0.318']
12/01/2023 10:04:14: Starting run with config: dropout=0.01, num_epochs=7, learning_rate=0.005
12/01/2023 10:04:37: Test Loss:  1.08061 | Test acc:  0.516 | Test macro_f1:  0.469 | Test f1 scores of classes: [' 0.641', ' 0.353', ' 0.412']
12/01/2023 10:04:39: Starting run with config: dropout=0.01, num_epochs=7, learning_rate=0.001
12/01/2023 10:05:02: Test Loss:  1.06264 | Test acc:  0.531 | Test macro_f1:  0.466 | Test f1 scores of classes: [' 0.669', ' 0.328', ' 0.400']
12/01/2023 10:05:04: Starting run with config: dropout=0.01, num_epochs=7, learning_rate=0.0005
12/01/2023 10:05:28: Test Loss:  1.00453 | Test acc:  0.495 | Test macro_f1:  0.441 | Test f1 scores of classes: [' 0.634', ' 0.331', ' 0.357']
12/01/2023 10:05:30: Starting run with config: dropout=0.01, num_epochs=7, learning_rate=0.0001
12/01/2023 10:05:53: Test Loss:  1.02625 | Test acc:  0.552 | Test macro_f1:  0.473 | Test f1 scores of classes: [' 0.692', ' 0.377', ' 0.351']
12/01/2023 10:05:55: Starting run with config: dropout=0.01, num_epochs=10, learning_rate=0.1
12/01/2023 10:06:28: Test Loss:  1.11106 | Test acc:  0.227 | Test macro_f1:  0.126 | Test f1 scores of classes: [' 0.012', ' 0.000', ' 0.367']
12/01/2023 10:06:30: Starting run with config: dropout=0.01, num_epochs=10, learning_rate=0.05
